brand,menu,star,review
오태식해바라기치킨-송정점,"오태식후라이드치킨/1(메뉴 선택(순살),음료 추가 선택(추가없음))",5,역시 바삭바삭 맛있어요ㅎ후라이드는 오태식이 최고예요ㅎ
오태식해바라기치킨-송정점,"해바라기아줌마반반치킨/1(메뉴 선택(순살),후라이드반 선택(후라이드반),양념반 선택(양념반),음료 추가 선택(추가없음))",5,"오늘 후라이드....

왜???
바삭바삭 야들야들 따끈따끈 육즙팡팡일까요?

튀겨서 바로 옆집에 룰루랄라 흔들며
갖다준거 같아요ㅋㅋ

튀긴 시간도 살 야들야들하니 딱 좋고
갓튀겨 총알배송 해주셔서 그런지
만족도가 매우 높았습니다

잘 먹었습니다."
오태식해바라기치킨-송정점,"병진이형 간장치킨/1(메뉴 선택(순살),음료 추가 선택(추가없음),추가 선택(치즈볼 3개추가))",5,맛있게 잘먹었습니당
오태식해바라기치킨-송정점,"해바라기아줌마반반치킨/1(메뉴 선택(뼈),후라이드반 선택(후라이드반),양념반 선택(양념반을 레드로 변경),음료 추가 선택(추가없음))",5,배달도 빠르고 맛있게 먹었네요~
오태식해바라기치킨-송정점,"세트7.（후라이드＋후라이드＋콜라 1.25L）/1(메뉴 선택 1(순살),메뉴 추가 선택 1(추가 없음),메뉴 선택 2(순살),메뉴 추가 선택 2(양념으로 변경),음료 추가 선택(추가없음),추가 선택(우유튀김15개 추가)),생맥주 1500cc/1",5,특유의 향이 너무 좋아요
오태식해바라기치킨-송정점,"병진이형 간장치킨/1(메뉴 선택(뼈),음료 추가 선택(추가없음))",5,간장치킨이 제일 맛있는 것 같아요~ 튀김도 얇고 바삭하고 속은 촉촉하고 야들야들하고 퍽퍽하지 않아서 너무 맛있어요 닭 잡내 때문에 치킨 정말 안 좋아하는데 여기 치킨은 너무 잘 먹어지고 부대끼는 것도 없네요 최고 ㅎㅎ
오태식해바라기치킨-송정점,"세트7.（후라이드＋후라이드＋콜라 1.25L）/1(메뉴 선택 1(뼈),메뉴 추가 선택 1(추가 없음),메뉴 선택 2(뼈),메뉴 추가 선택 2(양념으로 변경),음료 추가 선택(추가없음))",5,느끼한거 하나도 없고 감자튀김이랑 서비스로 주신 닭똥집도 맛있어요 후라이드도 맛있지만 양념치킨은 진짜 이렇게 만족한 집은 처음이예요!!! 앞으로 최애 치킨집입니다!!! 일욜이여서 주문이 많이서 그런지 조금 오래걸렸지만 잎으론 감안해서 일찍 시킬게요!! 번창하세요~^^
오태식해바라기치킨-송정점,"오태식후라이드치킨/1(메뉴 선택(뼈),음료 추가 선택(추가없음))",5,믿고 먹는 검증된 맛집!!! 잘 먹었습니다~
오태식해바라기치킨-송정점,"오태식후라이드치킨/1(메뉴 선택(뼈),음료 추가 선택(추가없음))",5,맛있네요 ㅠ 어제도 잘먹었습니다
오태식해바라기치킨-송정점,"세트1.（후라이드＋우유튀김＋콜라 1.25L）/1(메뉴 선택(순살),메뉴 추가 선택(추가 없음),음료 추가 선택(추가없음),추가 선택(마늘갈릭소스))",5,구미 온지 얼마 안돼서 치킨집 여기저기 시켜보고 있는데 앞으로 이 집에 시킬 일이 많아질거 같네요
오태식해바라기치킨-송정점,"해바라기아줌마반반치킨/1(메뉴 선택(순살),후라이드반 선택(후라이드반),양념반 선택(양념반),콜라 사이즈 선택(콜라 1.25L 로 변경),음료 추가 선택(추가없음),추가 선택(케이준감자튀김（300g）추가))",5,리뷰이벤트로 받은 똥집도 맛잇고 치킨도 맛잇어요 굿
오태식해바라기치킨-송정점,"해바라기아줌마반반치킨/1(메뉴 선택(뼈),후라이드반 선택(후라이드반),양념반 선택(양념반을 간장으로 변경),콜라 사이즈 선택(콜라 1.25L 로 변경),음료 추가 선택(추가없음),추가 선택(치즈볼 3개추가))",5,"맛있게 잘먹었습니다
특히 간장 맛있네요 ㅋㅋ
근데 후라이드는 소스가 없어서 조금 아쉬워요"
오태식해바라기치킨-송정점,"오태식후라이드치킨/1(메뉴 선택(뼈),음료 추가 선택(추가없음))",5,늘맛나게먹은집이지만 오늘유독맛나게잘먹었습니다
오태식해바라기치킨-송정점,"병진이형 간장치킨/1(메뉴 선택(윙봉),음료 추가 선택(추가없음))",5,"간장 처음 먹었는데 이것도 맛있네요
맛나게 잘 먹었습니다"
오태식해바라기치킨-송정점,"병진이형 간장치킨/1(메뉴 선택(순살),음료 추가 선택(추가없음))",5,맛있게 잘먹었습니다
오태식해바라기치킨-송정점,"오태식후라이드치킨/1(메뉴 선택(뼈),음료 추가 선택(추가없음))",5,잘먹었습니다 맛있어서 혼자 한마리 원샷했네요..
오태식해바라기치킨-송정점,"오태식후라이드치킨/1(메뉴 선택(순살),음료 추가 선택(추가없음))",5,항샹 한결같음 굿ㅋㅋㅋㅋㅋ
오태식해바라기치킨-송정점,"오라클레드핫치킨/1(메뉴 선택(뼈),음료 추가 선택(추가없음))",5,늘맛있게먹고있습니다 !!!
오태식해바라기치킨-송정점,"해바라기아줌마반반치킨/1(메뉴 선택(윙봉),후라이드반 선택(후라이드반),양념반 선택(양념반),음료 추가 선택(추가없음)),옛날통닭＋똥집튀김＋콜라500ml /1(콜라 사이즈 선택(콜라 1.25L 로 변경),음료 추가 선택(추가없음)),케이준감자튀김（300g）/1,국물떡볶이/1",5,"옛날통닭 진짜 맛있었어요~
음료수 챙겨 주신 센스에 웃으며 기분 좋게 먹었습니다.
감사합니다~"
오태식해바라기치킨-송정점,"세트7.（후라이드＋후라이드＋콜라 1.25L）/1(메뉴 선택 1(뼈),메뉴 추가 선택 1(추가 없음),메뉴 선택 2(뼈),메뉴 추가 선택 2(양념으로 변경),음료 추가 선택(추가없음))",5,"오랜만에 오태식치킨과함께했어요 가족끼리  맛있게잘먹었답니다^^
배달이늦어서치킨이 식어서 아쉬웠지만  맛있게잘먹었어요 담에또시킬께요"
오태식해바라기치킨-송정점,"세트6.（후라이드＋똥집튀김＋콜라 1.25L）/1(메뉴 선택(순살),메뉴 추가 선택(간장으로 변경),음료 추가 선택(추가없음))",5,맛있게 잘먹었습니다
오태식해바라기치킨-송정점,"해바라기아줌마반반치킨/1(메뉴 선택(뼈),후라이드반 선택(후라이드반을 양념으로 변경),양념반 선택(양념반을 간장으로 변경),음료 추가 선택(추가없음))",5,구미에서 원탑 치킨 집입니다 ㅠㅠㅠㅠ
오태식해바라기치킨-송정점,"병진이형 간장치킨/1(메뉴 선택(순살),콜라 사이즈 선택(콜라 1.25L 로 변경),음료 추가 선택(추가없음),추가 선택(똥집튀김（소） 추가))",5,맛있어요!!!!!!!!!!!
오태식해바라기치킨-송정점,"오태식후라이드치킨/1(메뉴 선택(뼈),음료 추가 선택(추가없음))",5,늘 맛있어요 자주 시켜먹습니다
오태식해바라기치킨-송정점,"오태식후라이드치킨/1(메뉴 선택(뼈),음료 추가 선택(추가없음))",5,맛잇게잘먹었습니다~~
오태식해바라기치킨-송정점,"오태식후라이드치킨/1(메뉴 선택(순살),음료 추가 선택(추가없음))",5,맨날 먹고싶움 ㄹㅇ
